round,client_id,task_id,reset_reference_loss,full_reference_loss,V_full,local_seed,initial_state_hash,full_state_hash
20,9,0,1.843118821009374,3.075481896049337,-1.2323630750399628,2209031,59b84ffc30e85f71e5b668b1d769a9d4d5a6c461d7dbf16671e2211287559b2f,1ab8f212766bea870ff512b6c0e740b97c67582a86bf249c1d6479f3d45e47fd
20,9,1,1.9921684594629334,3.180414427380431,-1.1882459679174975,2209031,e35ed829fd64a6ebd4e30e64319e25e4f0f7ff175617ecbadfa0a90106b47f13,722db82aecfa7b19b051ba8fad080a4ed4df1b84f245a89471d03b96055e16ee
20,9,2,1.8231101500821671,3.240049155079578,-1.4169390049974109,2209031,2b41c4e6e040d31814fb6f2cbaffefb81d583c3f2c1d898dee001298fb97d2f0,a54d73cb9d3f9f7f604ebdce360f4164e2a7ba62578651245ac828897f3af96b
20,9,3,1.8293277649672959,3.171365751838312,-1.342037986871016,2209031,f042d10661d1ae626dcc127bfc487d1069d4367506158e79305d3700a8d44ae4,cc9d7acbfb8f87083d69fd04125699cccb84bcc277391308840aba9d67fa67bd
20,9,4,1.9283728349492466,3.1969108681369236,-1.268538033187677,2209031,7968a9ab429ef695fd4fa246dd5cdcf2f337af3708a62599d8c08b9286d8702b,e219a400f8c5d312cc57e5d98af47855b528a2f5d4ec18b9f2d24974a881b58b
20,9,5,1.9229395994492446,3.2157195673263956,-1.292779967877151,2209031,3560304b1fa9af0804a211313ec7952f9460a72034febec3276e228f0861fe8e,dfefe5100110c436a0aad7cdbca47bd385f82bb5f93ef8e754200b9ca5126404
20,9,6,1.9310489463975977,3.186811572482131,-1.2557626260845334,2209031,8aad1ffaf335dd032544bf1a51754bbad1c2a2dcd2d26291e3840424da2ae70a,22b1e152a168148e86c1fa8d38342387370cc3c22175d267637c9674e0aff8d6
20,9,7,1.8480293404830201,3.2785178115881015,-1.4304884711050814,2209031,076e3af26887cf368aba958b86c4ede8b58af005418ff9c94248013bba1b8b2c,05e2e7daceff11a59228272af9a061c70424b995d61324459f48c1f2cbbb05af
20,9,8,2.0379543558260984,3.1451549288813627,-1.1072005730552643,2209031,9da54c96c176702624c2dc8dede378d8964d5b712f6eabe74db5ee0a8a9be8f1,d09317b5e29a0b2819c188e95c5363362e6393571a22d432dd606eb99849fa0a
20,9,9,1.7705325326404222,3.1377410866090423,-1.36720855396862,2209031,ceba4642b66cf10698292de379b00643b94597aaca86100766fdf936a3552f3a,fcc0d6546b1fde5c448992ba5f84cff6868c9c5ded4831766f4d1ef0b5025060
20,17,0,1.843118821009374,3.793802424538453,-1.950683603529079,2217007,59b84ffc30e85f71e5b668b1d769a9d4d5a6c461d7dbf16671e2211287559b2f,27d61e8552c31830775eb2e51bb83dbf0caf052dee1679ffabbed6085bd9c7f0
20,17,1,1.9921684594629334,3.7672660751209297,-1.7750976156579963,2217007,e35ed829fd64a6ebd4e30e64319e25e4f0f7ff175617ecbadfa0a90106b47f13,fc7f41f6e70631a1e4340fedbfcf5c15a053d66ba3772ac49254c4a6cbc023f0
20,17,2,1.8231101500821671,3.8256705099796458,-2.002560359897479,2217007,2b41c4e6e040d31814fb6f2cbaffefb81d583c3f2c1d898dee001298fb97d2f0,5ff04e2e1e24709a6d68f60a7de6095d4983101f1ecac638a2657bfde8f0c0a0
20,17,3,1.8293277649672959,3.810753232931695,-1.981425467964399,2217007,f042d10661d1ae626dcc127bfc487d1069d4367506158e79305d3700a8d44ae4,cc2d8cc75917fdfda61b8328d2b8b3cb5135f449d09bb8e028f9ff36318caaff
20,17,4,1.9283728349492466,3.8912041076132624,-1.9628312726640158,2217007,7968a9ab429ef695fd4fa246dd5cdcf2f337af3708a62599d8c08b9286d8702b,b7b6249469c21abe97ae8d9e969c20c8a674c17f0dc0e3a4e528522d9b32972f
20,17,5,1.9229395994492446,3.7705476068318204,-1.8476080073825758,2217007,3560304b1fa9af0804a211313ec7952f9460a72034febec3276e228f0861fe8e,bb55981773226fe31d6c423eb16460360d2732ee1c069f61b8a2b8b950bfff49
20,17,6,1.9310489463975977,3.7998573943457896,-1.868808447948192,2217007,8aad1ffaf335dd032544bf1a51754bbad1c2a2dcd2d26291e3840424da2ae70a,b27f37ad9458f3c12884c6cfe285f4892450c08ffffa068781feed1327454e33
20,17,7,1.8480293404830201,3.8712785634209097,-2.0232492229378893,2217007,076e3af26887cf368aba958b86c4ede8b58af005418ff9c94248013bba1b8b2c,ac5146bde93ad1c4f1b14ef9cdbd6d20b01e65601ee0e474c81ca01f1234e0cc
20,17,8,2.0379543558260984,3.876794418170144,-1.8388400623440457,2217007,9da54c96c176702624c2dc8dede378d8964d5b712f6eabe74db5ee0a8a9be8f1,f68e47e727864dfebe679449c6679b65785e372582bcef17dff0df933b8f986a
20,17,9,1.7705325326404222,3.8294955224264386,-2.0589629897860164,2217007,ceba4642b66cf10698292de379b00643b94597aaca86100766fdf936a3552f3a,9735f90347d94b20ad444514d460bc3247006825922e0848bf021987a5fe52e6
