round,metric,task_left,task_right,client_rank_spearman
1,G,0,1,0.9878787878787879
1,G,0,2,0.9636363636363636
1,G,0,3,0.9636363636363636
1,G,0,4,0.9878787878787879
1,G,0,5,0.9272727272727272
1,G,0,6,0.9151515151515152
1,G,0,7,0.9636363636363636
1,G,0,8,0.9393939393939394
1,G,0,9,0.9757575757575757
1,G,1,2,0.9757575757575757
1,G,1,3,0.9757575757575757
1,G,1,4,0.9757575757575757
1,G,1,5,0.9393939393939394
1,G,1,6,0.9272727272727272
1,G,1,7,0.9757575757575757
1,G,1,8,0.9272727272727272
1,G,1,9,0.9636363636363636
1,G,2,3,0.9393939393939394
1,G,2,4,0.9757575757575757
1,G,2,5,0.9393939393939394
1,G,2,6,0.9757575757575757
1,G,2,7,0.9393939393939394
1,G,2,8,0.8666666666666667
1,G,2,9,0.9272727272727272
1,G,3,4,0.9515151515151515
1,G,3,5,0.9636363636363636
1,G,3,6,0.9030303030303031
1,G,3,7,1.0
1,G,3,8,0.9515151515151515
1,G,3,9,0.9878787878787879
1,G,4,5,0.9515151515151515
1,G,4,6,0.9393939393939394
1,G,4,7,0.9515151515151515
1,G,4,8,0.9272727272727272
1,G,4,9,0.9636363636363636
1,G,5,6,0.9393939393939394
1,G,5,7,0.9636363636363636
1,G,5,8,0.9151515151515152
1,G,5,9,0.9515151515151515
1,G,6,7,0.9030303030303031
1,G,6,8,0.806060606060606
1,G,6,9,0.8909090909090909
1,G,7,8,0.9515151515151515
1,G,7,9,0.9878787878787879
1,G,8,9,0.9636363636363636
20,G,0,1,0.8666666666666667
20,G,0,2,0.7333333333333333
20,G,0,3,0.9393939393939394
20,G,0,4,0.7454545454545455
20,G,0,5,0.8545454545454545
20,G,0,6,0.7818181818181819
20,G,0,7,0.7212121212121212
20,G,0,8,0.6848484848484848
20,G,0,9,0.9515151515151515
20,G,1,2,0.4909090909090909
20,G,1,3,0.9151515151515152
20,G,1,4,0.5151515151515151
20,G,1,5,0.7212121212121212
20,G,1,6,0.6484848484848484
20,G,1,7,0.44242424242424244
20,G,1,8,0.45454545454545453
20,G,1,9,0.793939393939394
20,G,2,3,0.6121212121212121
20,G,2,4,0.9878787878787879
20,G,2,5,0.8666666666666667
20,G,2,6,0.696969696969697
20,G,2,7,0.7696969696969697
20,G,2,8,0.9636363636363636
20,G,2,9,0.7696969696969697
20,G,3,4,0.6363636363636364
20,G,3,5,0.7454545454545455
20,G,3,6,0.7575757575757576
20,G,3,7,0.6606060606060606
20,G,3,8,0.6
20,G,3,9,0.8787878787878788
20,G,4,5,0.8787878787878788
20,G,4,6,0.7454545454545455
20,G,4,7,0.806060606060606
20,G,4,8,0.9757575757575757
20,G,4,9,0.793939393939394
20,G,5,6,0.7454545454545455
20,G,5,7,0.6727272727272727
20,G,5,8,0.7818181818181819
20,G,5,9,0.8303030303030303
20,G,6,7,0.6484848484848484
20,G,6,8,0.7212121212121212
20,G,6,9,0.7333333333333333
20,G,7,8,0.806060606060606
20,G,7,9,0.8666666666666667
20,G,8,9,0.7454545454545455
40,G,0,1,0.9636363636363636
40,G,0,2,0.9272727272727272
40,G,0,3,0.9515151515151515
40,G,0,4,0.6121212121212121
40,G,0,5,0.9151515151515152
40,G,0,6,0.9393939393939394
40,G,0,7,0.9515151515151515
40,G,0,8,0.8666666666666667
40,G,0,9,0.8545454545454545
40,G,1,2,0.9030303030303031
40,G,1,3,0.8909090909090909
40,G,1,4,0.5636363636363636
40,G,1,5,0.9030303030303031
40,G,1,6,0.9151515151515152
40,G,1,7,0.9393939393939394
40,G,1,8,0.8909090909090909
40,G,1,9,0.8787878787878788
40,G,2,3,0.9757575757575757
