round,metric,replicate_count,client_count,state_count,grand_mean,total_variance,client_main_effect_variance,state_main_effect_variance,interaction_variance,interaction_fraction_total,variance_reconstruction_error,raw_cell_measurement_noise_variance,interaction_measurement_noise_variance_single_replicate,expected_interaction_noise_variance_replicate_mean,interaction_variance_minus_expected_noise,interaction_signal_variance_nonnegative,interaction_to_expected_noise_ratio,interaction_signal_to_expected_noise_ratio,mean_pairwise_interaction_pearson,cross_state_client_rank_spearman_mean,cross_state_client_rank_spearman_min,cross_state_client_rank_spearman_max,candidate_client_pair_state_pair_count,stable_comparable_count,stable_reversal_count,stable_comparable_rate,stable_reversal_rate_all_candidates,stable_reversal_rate_among_stable_comparable
1,G,3,10,10,0.5306317895650863,0.44436584142759117,0.4163834113811141,0.006019279315326504,0.021963150731150377,0.04942583043870001,1.6653345369377348e-16,0.68277407696653,0.006601811196931651,0.00220060373231055,0.019762546998839826,0.019762546998839826,9.980511442689368,8.980511442689368,0.763596846266365,0.9469360269360269,0.806060606060606,1.0,2025,111,0,0.054814814814814816,0.0,0.0
20,G,3,10,10,-63.41640251676242,2050.951596151963,1306.756615738685,261.23345804110573,482.9615223721721,0.2354816775190182,-5.684341886080802e-14,810.1739536771224,104.33574316246873,34.77858105415624,448.1829413180159,448.1829413180159,13.886751780359234,12.886751780359234,0.8214065266622187,0.7546127946127947,0.44242424242424244,0.9878787878787879,2025,253,21,0.12493827160493827,0.01037037037037037,0.08300395256916997
40,G,3,10,10,-189.7918058925867,38536.5463081243,34709.768280920005,1887.149770696456,1939.6282565078538,0.05033217665639487,-1.5234036254696548e-11,8688.120489191999,782.5725228503824,260.8575076167941,1678.7707488910596,1678.7707488910596,7.4355853286661535,6.4355853286661535,0.7020532015276788,0.899259259259259,0.5636363636363636,0.9878787878787879,2025,386,0,0.19061728395061728,0.0,0.0
1,A,3,10,10,0.5074835751454035,0.42792324570907153,0.4125612900049361,0.004546165912970225,0.01081578979116523,0.025275069535527096,0.0,0.6794705544586127,0.006582348971859335,0.0021941163239531116,0.008621673467212118,0.008621673467212118,4.929451402867537,3.929451402867537,0.5787891601920352,0.9730639730639733,0.9393939393939394,1.0,,,,,,
20,A,3,10,10,-63.53723897218704,2057.9265677531207,1308.2655398113548,264.1389016491864,485.52212629257906,0.23592781875724575,5.115907697472721e-13,810.2940293328096,104.04696943060586,34.682323143535285,450.83980314904375,450.83980314904375,13.999123538616802,12.9991235386168,0.8226803309841487,0.7508417508417509,0.4303030303030303,0.9757575757575757,,,,,,
40,A,3,10,10,-190.08579129775364,38562.403210951525,34726.80215656873,1895.8311039052878,1939.769950477498,0.05030210227993813,8.412825991399586e-12,8689.039268553695,782.0811731927737,260.6937243975912,1679.0762260799067,1679.0762260799067,7.440800329811934,6.440800329811934,0.7022924438896676,0.899259259259259,0.5636363636363636,0.9878787878787879,,,,,,
1,D,3,10,10,0.20928749004999797,0.07527269140303264,0.06856855873493287,0.001327263467486092,0.0053768692006136865,0.07143187124563291,-6.938893903907228e-18,0.2167034654844349,0.008686002759797733,0.002895334253265911,0.0024815349473477754,0.0024815349473477754,1.8570806443327317,0.8570806443327316,0.27840242198879733,0.9721072796934864,0.8896551724137931,1.0,,,,,,
20,D,3,10,10,63.53723897218704,2057.9265677531207,1308.2655398113548,264.1389016491864,485.52212629257906,0.23592781875724575,5.115907697472721e-13,810.2940293328096,104.04696943060586,34.682323143535285,450.83980314904375,450.83980314904375,13.999123538616802,12.9991235386168,0.8226803309841487,0.7508417508417509,0.4303030303030303,0.9757575757575757,,,,,,
40,D,3,10,10,190.08579129775364,38562.403210951525,34726.80215656873,1895.8311039052878,1939.769950477498,0.05030210227993813,8.412825991399586e-12,8689.039268553695,782.0811731927737,260.6937243975912,1679.0762260799067,1679.0762260799067,7.440800329811934,6.440800329811934,0.7022924438896676,0.899259259259259,0.5636363636363636,0.9878787878787879,,,,,,
1,C,3,10,10,0.0029897654999290176,8.398546208783705e-06,2.2949248252836743e-06,3.1086740197388316e-06,2.9949473637611987e-06,0.35660307025862437,0.0,4.2130820132055564e-07,1.7666979208518885e-07,5.888993069506295e-08,2.9360574330661357e-06,2.9360574330661357e-06,50.856697034834184,49.856697034834184,0.9439976083478646,0.2802693602693603,-0.4303030303030303,0.9030303030303031,,,,,,
20,C,3,10,10,0.0018949325715948517,7.988928448599017e-06,1.310753336725078e-06,1.5367789813020612e-06,5.141396130571878e-06,0.6435651744350648,0.0,1.639648151085332e-06,9.84664473797606e-07,3.282214912658687e-07,4.813174639306009e-06,4.813174639306009e-06,15.66441036734917,14.664410367349168,0.8328786477238648,0.14774410774410776,-0.6121212121212121,0.9030303030303031,,,,,,
40,C,3,10,10,0.004579726089594422,1.173462090383501e-05,5.360165488104199e-07,6.566596322579749e-06,4.63200803244484e-06,0.3947300957060356,0.0,1.6577499959877925e-06,9.25487193173495e-07,3.0849573105783167e-07,4.323512301387008e-06,4.323512301387008e-06,15.014820518137114,14.014820518137114,0.8275740970435422,0.029764309764309767,-0.6121212121212121,0.9151515151515152,,,,,,
1,adapted_utility,3,10,10,-2.0968098268906274,0.25648927489262063,0.24112731918848515,0.004546165912970223,0.01081578979116523,0.0421685850049413,2.949029909160572e-17,0.654691779689621,0.006582348971859334,0.0021941163239531116,0.008621673467212118,0.008621673467212118,4.929451402867537,3.929451402867537,0.5787891601920351,0.9779124579124578,0.9393939393939394,1.0,,,,,,
20,adapted_utility,3,10,10,-65.34293083826701,2067.183784708481,1317.5227567667157,264.1389016491865,485.5221262925792,0.23487129198870363,-1.7053025658242404e-13,807.5932517541436,104.04696943060584,34.68232314353528,450.8398031490439,450.8398031490439,13.999123538616807,12.999123538616807,0.8226803309841487,0.7505723905723906,0.4303030303030303,0.9757575757575757,,,,,,
40,adapted_utility,3,10,10,-191.4725334485372,38627.158978288484,34791.557923905704,1895.8311039052874,1939.7699504774982,0.05021777427555058,-5.9117155615240335e-12,8684.51405441411,782.0811731927738,260.69372439759127,1679.076226079907,1679.076226079907,7.440800329811933,6.440800329811933,0.7022924438896675,0.899259259259259,0.5636363636363636,0.9878787878787879,,,,,,
1,Q,3,10,10,5.329070518200751e-17,4.470914885485687,4.081487282150378,0.09413125235218156,0.29529635098312823,0.06604830522311529,-5.551115123125783e-16,6.343651383493967,0.17167347527644114,0.057224491758813716,0.2380718592243145,0.2380718592243145,5.1603140876763955,4.1603140876763955,0.6259368303719878,0.939124579124579,0.8909090909090909,1.0,,,,,,
20,Q,3,10,10,1.1102230246251565e-16,7.436166444097748,4.872007028719962,0.9024785737402052,1.6616808416375821,0.22345933944989835,-1.7763568394002505e-15,2.5125021548877458,0.3724879614330785,0.12416265381102616,1.537518187826556,1.537518187826556,13.383097015360491,12.383097015360491,0.8104520460151279,0.724983164983165,0.38181818181818183,0.9878787878787879,,,,,,
40,Q,3,10,10,5.10702591327572e-17,8.435653335127672,7.628642691241971,0.3439211790681117,0.4630894648175892,0.054896692220529765,-6.106226635438361e-16,0.9382030291664409,0.19149627598566535,0.06383209199522179,0.39925737282236745,0.39925737282236745,7.2548063261384925,6.2548063261384925,0.7049820437785397,0.9022222222222223,0.7090909090909091,0.9757575757575757,,,,,,
